lang;descr;run_1;run_2;run_3;run_4;run_5;run_6;run_7;run_8;run_9
Scala;;2.260028922;2.212674037;3.299895158;3.488327055;2.290106607;2.462862841;2.328703171;3.387871467;2.391734791
python;;2.55103802681;2.59692215919;2.58940815926;2.59924197197;2.60438895226;2.59325909615;2.53479599953;2.57690191269;2.76069402695
C++;;1.11998;1.22682;1.11104;1.16249;1.14886;1.11206;1.14613;1.12007;1.09673
